data,product_id,nome,preco,n_ofertas,item_id,seller_id,frete_gratis,permalink
2026-07-12,MLB71568830,Livro Seis Anos Depois - Harlan Coben,25.0,1,MLB4789170607,415277746,False,https://www.mercadolivre.com.br/p/MLB71568830
2026-07-12,MLB62785929,Livro Quebra De Confiança- Harlan Coben,51.0,45,MLB4347555401,480263032,False,https://www.mercadolivre.com.br/p/MLB62785929
2026-07-12,MLB72460582,Apenas Um Olhar | Harlan Coben,192.18,1,MLB4743444625,16727661,True,https://www.mercadolivre.com.br/p/MLB72460582
2026-07-12,MLB19243809,Livro Não Há Segunda Chance De Harlan Coben Da Editora Arqueiro,48.94,45,MLB4663582216,739066488,False,https://www.mercadolivre.com.br/p/MLB19243809
2026-07-12,MLB30033114,"Identidades Cruzadas, De Harlan Coben. Editora Arqueiro Em Português",48.19,76,MLB4904549046,480263032,False,https://www.mercadolivre.com.br/p/MLB30033114
2026-07-12,MLB19243672,Livro Fique comigo de Harlan Coben Editora Arqueiro Capa mole em português 2021,45.0,17,MLB4396997093,74079429,False,https://www.mercadolivre.com.br/p/MLB19243672
2026-07-12,MLB19243657,Livro Custe o Que Custar de Harlan Coben Capa Mole em Português 2020 Editora Arqueiro,39.9,2,MLB3881026463,709735763,False,https://www.mercadolivre.com.br/p/MLB19243657
2026-07-12,MLB66105743,"Kit Nunca Minta + A Empregada, De Freida Mcfadden",129.29,2,MLB6661251870,761552384,True,https://www.mercadolivre.com.br/p/MLB66105743
2026-07-12,MLB66070619,"Livro A Intrusa A Inquilina, De Freida Mcfadden, Vol. 2, Capa Mole",132.65,2,MLB4629023345,761552384,True,https://www.mercadolivre.com.br/p/MLB66070619
2026-07-12,MLB43966736,"Livro Nunca Minta de Freida McFadden, 280 Páginas, Português, Editora Record, Capa Blanda",30.06,100,MLB4085363551,698499112,False,https://www.mercadolivre.com.br/p/MLB43966736
2026-07-12,MLB63989000,"Livro Querida Debbie, por Freida McFadden Editora Arqueiro Capa Mole Em Português, 2026",37.17,100,MLB4832470915,698499112,False,https://www.mercadolivre.com.br/p/MLB63989000
2026-07-12,MLB62822775,"Livro Kit O Segredo Da Empregada, De Freida Mcfadden. Editora Arqueiro, Capa Mole",119.8,12,MLB4343918665,718990748,True,https://www.mercadolivre.com.br/p/MLB62822775
2026-07-12,MLB40442415,Box A Empregada Edição 1 Ano 2024 Freida Mcfadden Editora Arqueiro,98.32,96,MLB3857554809,480263032,True,https://www.mercadolivre.com.br/p/MLB40442415
2026-07-12,MLB49824716,Livro A Sete Chaves Edição 1 Ano 2025 Em Português Freida Mcfadden Editora Arqueiro,37.05,100,MLB5420634440,480263032,False,https://www.mercadolivre.com.br/p/MLB49824716
2026-07-12,MLB61516164,Livro A Inquilina de Freida Mcfadden com Capa Mole em Português por Editora Record,34.4,100,MLB4427009665,698499112,False,https://www.mercadolivre.com.br/p/MLB61516164
2026-07-12,MLB61213087,"Livro Coleção Dan Brown 6 Volumes, De Dan Brown. Editora Diversas, Capa Mole",479.4,13,MLB4274602039,718990748,True,https://www.mercadolivre.com.br/p/MLB61213087
2026-07-12,MLB68160517,Livro Fortaleza Digital Dan Brown Aventura Ficção,65.0,1,MLB4832112787,67534904,False,https://www.mercadolivre.com.br/p/MLB68160517
2026-07-12,MLB21587911,Livro O Símbolo Perdido - Dan Brown - Edição Econômica *,25.0,1,MLB5312649252,168961967,False,https://www.mercadolivre.com.br/p/MLB21587911
2026-07-12,MLB23085580,"Kit 2 Livros Dan Brown Ponto De Impacto + Origem, De Dan Brown. Editora Arqueiro Em Português",90.0,1,MLB7143075990,382480267,True,https://www.mercadolivre.com.br/p/MLB23085580
2026-07-12,MLB21576134,Livro O Código Da Vinci de Dan Brown Editorial Arqueiro,19.0,4,MLB4260534915,51444904,False,https://www.mercadolivre.com.br/p/MLB21576134
2026-07-12,MLB21573061,O Código Da Vinci Dan Brown Livro Q Inspirou Filme Sexante,23.0,4,MLB4600280441,454579630,False,https://www.mercadolivre.com.br/p/MLB21573061
2026-07-12,MLB71415277,Livro - Inferno Or Smoking Mirrors? Dan Brown Between Fiction An Manipulation,749.0,1,MLB7069987762,144261870,True,https://www.mercadolivre.com.br/p/MLB71415277
2026-07-12,MLB20806009,Livro Inferno De Dan Brown Autor De O Código Da Vinci,69.9,6,MLB5521546872,27067435,False,https://www.mercadolivre.com.br/p/MLB20806009
2026-07-12,MLB47435446,"O Segredo Final (Robert Langdon Livro 6), Dan Brown, Arqueiro, 2025",43.32,100,MLB5573817572,480263032,False,https://www.mercadolivre.com.br/p/MLB47435446
2026-07-12,MLB29844901,"O Símbolo Perdido De Dan Brown: O Símbolo Perdido De Dan Brown, De Alex, Carmine. Editora Madras, Capa Mole Em Português",45.0,1,MLB6768548110,30349540,False,https://www.mercadolivre.com.br/p/MLB29844901
2026-07-12,MLB48969471,Livro Inferno Dan Brown Volume 4 Edição 1 Português 2025 Editora Arqueiro,53.1,100,MLB5420848090,480263032,False,https://www.mercadolivre.com.br/p/MLB48969471
2026-07-12,MLB49085044,Livro Anjos E Demônios de Dan Brown Livro 1 Capa mole em Português 2025 Editora Arqueiro,36.74,100,MLB7127194444,2409967011,False,https://www.mercadolivre.com.br/p/MLB49085044
2026-07-12,MLB51131740,"No meio da noite por Riley Sager, Intrínseca",42.8,100,MLB5473928368,480263032,False,https://www.mercadolivre.com.br/p/MLB51131740
2026-07-12,MLB39606339,Livro O Massacre Da Família Hope De Riley Sager Edição 1 Em Português 2024 Editora Intrínseca,47.31,100,MLB4085323871,698499112,False,https://www.mercadolivre.com.br/p/MLB39606339
2026-07-12,MLB19395925,Livro Garota Exemplar Gillian Flynn Intrínseca,38.0,70,MLB5898730780,649640097,False,https://www.mercadolivre.com.br/p/MLB19395925
2026-07-12,MLB19395937,Livro Sharp Objects Objetos Cortantes Gillian Flynn,32.0,10,MLB4973508722,128684519,False,https://www.mercadolivre.com.br/p/MLB19395937
2026-07-12,MLB30054469,"Gone Girl, De Gillian Flynn. Editora Random House Em Inglês",67.68,1,MLB6688009642,1435180193,False,https://www.mercadolivre.com.br/p/MLB30054469
2026-07-12,MLB19395947,"Livro Lugares Escuros, de Flynn, Gillian. Editora Intrínseca Ltda., capa mole (2015)",50.0,1,MLB4677637541,3339164883,False,https://www.mercadolivre.com.br/p/MLB19395947
2026-07-12,MLB19403363,"Livro Lugares Escuros, de Flynn, Gillian. Editora Intrínseca Ltda., capa mole (2015)",69.0,1,MLB4051023063,67534904,False,https://www.mercadolivre.com.br/p/MLB19403363
2026-07-12,MLB19370398,"Livro O adulto, de Flynn, Gillian. Editora Intrínseca Ltda., capa mole (2016)",60.0,1,MLB4219020861,297236181,False,https://www.mercadolivre.com.br/p/MLB19370398
2026-07-12,MLB19203247,"Livro Garota Exemplar - Capa Filme, de Flynn, Gillian. Editora Intrínseca Ltda., capa mole (2014)",23.9,4,MLB5886346228,279088896,False,https://www.mercadolivre.com.br/p/MLB19203247
2026-07-12,MLB69457866,"Livro Traição - Gillian Shields, De Gillian Shields. Editora",37.53,3,MLB6797685822,2014748736,False,https://www.mercadolivre.com.br/p/MLB69457866
2026-07-12,MLB72143728,Livro - Agatha Christie,949.0,1,MLB6904935248,144261870,True,https://www.mercadolivre.com.br/p/MLB72143728
2026-07-12,MLB71675611,Agatha Christie,599.0,1,MLB4737104623,144261870,True,https://www.mercadolivre.com.br/p/MLB71675611
2026-07-12,MLB73992831,Livro Hora Zero | Agatha Christie,229.98,1,MLB6996512868,689467087,True,https://www.mercadolivre.com.br/p/MLB73992831
2026-07-12,MLB20791233,Livro Morte No Nilo - Agatha Christie *,40.0,4,MLB3815660141,184187005,False,https://www.mercadolivre.com.br/p/MLB20791233
2026-07-12,MLB71984850,Livro Fisico - Chamo-me Agatha Christie,449.0,1,MLB6895580920,144261870,True,https://www.mercadolivre.com.br/p/MLB71984850
2026-07-12,MLB68117109,Livro A Terceira Moça - Agatha Christie,34.93,43,MLB4822939217,2626308402,False,https://www.mercadolivre.com.br/p/MLB68117109
2026-07-12,MLB41278036,"Livro Novo Os Elefantes Não Esquecem, Agatha Christie, De Agatha Christie. Editorial Nova Fronteira Em Português, 2002",35.0,1,MLB5739572608,154395804,False,https://www.mercadolivre.com.br/p/MLB41278036
2026-07-12,MLB72064810,"Livro - Stephen King's Dark Tower: The Gunslinger Born, Stephen King",169.9,1,MLB6899485978,130074131,True,https://www.mercadolivre.com.br/p/MLB72064810
2026-07-12,MLB21583604,Revival - Stephen King,128.03,2,MLB4575271208,726732468,True,https://www.mercadolivre.com.br/p/MLB21583604
2026-07-12,MLB71478767,Livro - Salem's Lot - Stephen King - Importado - Ingles,162.23,3,MLB7029983216,265690040,False,https://www.mercadolivre.com.br/p/MLB71478767
2026-07-12,MLB29917257,"Kit Stephen King Vol. 1, de Stephen King. Editora Suma, capa mole em português, 2014",332.6,4,MLB3606267991,581449690,True,https://www.mercadolivre.com.br/p/MLB29917257
2026-07-12,MLB22221361,Cujo Coleção Biblioteca Stephen King,134.9,1,MLB4265379581,265690040,False,https://www.mercadolivre.com.br/p/MLB22221361
2026-07-12,MLB72054177,Livro - Stephen King Classic Collection 5-book Box - Inglês,686.2,1,MLB4736600929,44566626,True,https://www.mercadolivre.com.br/p/MLB72054177
2026-07-12,MLB72497868,Livro - Suspense Sculture Sospese. Suspended Sculptures,549.0,1,MLB6909120022,144261870,True,https://www.mercadolivre.com.br/p/MLB72497868
2026-07-12,MLB70786670,Livro - Hitchcock: Anatomía Del Suspense,849.0,1,MLB7096330020,144261870,True,https://www.mercadolivre.com.br/p/MLB70786670
2026-07-12,MLB71802212,Livro Missing Sommer (nora Sommer Caribbean Suspense) - Ing,296.41,2,MLB4829893475,3277837440,True,https://www.mercadolivre.com.br/p/MLB71802212
2026-07-12,MLB71564277,Livro Lotus: Second Chance Love With Romantic Suspense - Ing,252.32,1,MLB7126357694,3277837440,True,https://www.mercadolivre.com.br/p/MLB71564277
2026-07-12,MLB21587434,Livro Contos De Suspense História Para Congelar Seu Sangue,49.82,8,MLB3513705171,635816909,False,https://www.mercadolivre.com.br/p/MLB21587434
2026-07-12,MLB22691658,Livro Box Viciados Em Suspense 3 Vol Charlie Donlea Lacrado,48.43,1,MLB6292809670,235843723,False,https://www.mercadolivre.com.br/p/MLB22691658
2026-07-12,MLB72048952,Livro Every Last Lie: A Thrilling Suspense Novel From - Ing,288.07,1,MLB4736593237,44566626,True,https://www.mercadolivre.com.br/p/MLB72048952
2026-07-12,MLB71974509,Livro Never Never: A Romantic Suspense Novel Of Love A - Ing,287.12,1,MLB4736602779,44566626,True,https://www.mercadolivre.com.br/p/MLB71974509
2026-07-12,MLB22499954,Livro O Cão Dos Baskervilles Col Mistério E Suspense C Doyle,24.25,5,MLB3849608385,676664765,False,https://www.mercadolivre.com.br/p/MLB22499954
2026-07-12,MLB72012474,Livro Hell And Gone: Gay Western Romantic Suspense Independently Published - Inglês,152.54,1,MLB4736600279,44566626,True,https://www.mercadolivre.com.br/p/MLB72012474
2026-07-12,MLB75202035,"Livro A Figura, Por Natalia Frecco - Terror e Suspense | Editorial Maquinaria, 2026",71.91,8,MLB4876292737,649963261,False,https://www.mercadolivre.com.br/p/MLB75202035
2026-07-12,MLB71988259,Livro - Mistério Siciliano,399.0,1,MLB6898756832,144261870,True,https://www.mercadolivre.com.br/p/MLB71988259
2026-07-12,MLB72387009,Livro - Mistério Da Fé,399.0,1,MLB6909118706,144261870,True,https://www.mercadolivre.com.br/p/MLB72387009
2026-07-12,MLB22819534,Livro Mistério Pombagira Mirim,144.65,1,MLB6253087602,1834965172,True,https://www.mercadolivre.com.br/p/MLB22819534
2026-07-12,MLB67081327,Livro Mistério Do Lago,39.0,1,MLB6624263678,171917542,False,https://www.mercadolivre.com.br/p/MLB67081327
2026-07-12,MLB72602884,Livro Mistério Das Crianças,29.9,1,MLB4742907129,827517735,False,https://www.mercadolivre.com.br/p/MLB72602884
2026-07-12,MLB71858129,"Livro - Mistério Dos Antigos, O",399.0,1,MLB6899619748,144261870,True,https://www.mercadolivre.com.br/p/MLB71858129
2026-07-12,MLB71865398,Livro - Mistério Da Pedra Verde,499.0,1,MLB6899717346,144261870,True,https://www.mercadolivre.com.br/p/MLB71865398
2026-07-12,MLB20642809,"Livro Mistério Para Ernest Hemingway, Um",18.66,8,MLB3351057607,434855362,False,https://www.mercadolivre.com.br/p/MLB20642809
2026-07-12,MLB71120065,"Livro - Mistério Do Papagaio Gago, O",349.0,1,MLB7069743904,144261870,True,https://www.mercadolivre.com.br/p/MLB71120065
2026-07-12,MLB21191333,"Livro Mistério Da Pirâmide De Queijo, O",18.02,3,MLB3788529890,434855362,False,https://www.mercadolivre.com.br/p/MLB21191333
2026-07-12,MLB71663802,"Livro - Mistério Do Relógio Que Grita, O",349.0,1,MLB4735741933,144261870,True,https://www.mercadolivre.com.br/p/MLB71663802
2026-07-12,MLB71012938,"Livro - Mistério Da Gruta Que Geme, O",349.0,1,MLB7124376276,144261870,True,https://www.mercadolivre.com.br/p/MLB71012938
2026-07-12,MLB21397443,"Livro Mistério Dos Ovos Preciosos, O - Coleção Backyardigans",29.97,1,MLB4104248935,434855362,False,https://www.mercadolivre.com.br/p/MLB21397443
2026-07-12,MLB71814854,Livro Fade In: A Thriller - Inglês,413.37,1,MLB4735739543,44566626,True,https://www.mercadolivre.com.br/p/MLB71814854
2026-07-12,MLB72050287,Livro Delusional: A Michael Bennett Thriller - Ing,339.59,2,MLB7131539972,3277837440,True,https://www.mercadolivre.com.br/p/MLB72050287
2026-07-12,MLB72608385,Livro - Thirteen Marks: A Psychological Thriller - Inglês,192.06,2,MLB6989152796,3277837440,True,https://www.mercadolivre.com.br/p/MLB72608385
2026-07-12,MLB71619212,Livro Collateral Damage: A Sapphic Erotic Thriller - Ing,356.0,1,MLB6889717458,44566626,True,https://www.mercadolivre.com.br/p/MLB71619212
2026-07-12,MLB72025893,Livro None Left To Tell: A Historical Thriller - Ing,296.41,2,MLB7070652708,3277837440,True,https://www.mercadolivre.com.br/p/MLB72025893
2026-07-12,MLB50029336,Collapse Um Thriller Psicológico Da Autora De Caledrina Cefyr,35.48,100,MLB4767041049,3354235929,False,https://www.mercadolivre.com.br/p/MLB50029336
2026-07-12,MLB72032813,Livro Choke Point: A Thriller The Scot Harvath Series - Ing,412.0,1,MLB4737285605,44566626,True,https://www.mercadolivre.com.br/p/MLB72032813
